Nom;Nom (EN);D?finition;Nom de la Vue (logique);Nom de la Colonne (logique);Nom de la Vue (physique);Nom de la Colonne (physique)
Périmètre du flux;Non renseigné;Périmètre du fichier (maître) qui crée la ligne en base;"Tranches ""OMP""";Flow Scope Cd;TEC_IFRS9_TRANCHE;FLOW_SCP_CD
Indicateur autorisation spécifique;Non renseigné;Indicateur permettant de préciser la nature spécifique de l'autorisation.;Autorisation;Specific Facility Ind;TEC_AUTORIZATION;SPCFC_FAC_IND
Référence locale déprécitation;Non renseigné;Référence unique de la provision/ décote dans le SI de gestion local de l'entité remettante;Provisions;Host Depreciation Num;TEC_DEPRECIATION;HOST_DPRCTN_NUM
Devise montant bien a octroi;Non renseigné;Devide du Montant initial du bien financé / loué;Contrats;Granting Asset Value Currency Cd;TEC_CONTRACT;GRNTNG_ASSET_VAL_CURY_CD
Montant Interêts payés ou capitalisés (euro);Non renseigné;Montant des Interests payés ou capitalisés dans le mois (euro);Contrats;Paid Interest Euro Amt;TEC_CONTRACT;PD_INT_EURO_AMT
Devise montant nominal;Non renseigné;Devise du nominal;Contrats;Notional Amt Currency Cd;TEC_CONTRACT;NOTL_AMT_CURY_CD
Devise montant de l'échéance;Non renseigné;Devise du montant de l'échéance;Contrats;Payment Currency Cd;TEC_CONTRACT;PMT_CURY_CD
ICNE créditeurs (euro);Non renseigné;ICNE créditeurs à date d'arrêté;Contrats;Credit Accrued Interest Not Due Euro Amt;TEC_CONTRACT;CR_ACRUD_INT_NOT_DUE_EURO_AMT
Marge commerciale théorique actuarielle;Non renseigné;"Différence entre le Rates actuariel du prêt et le Rates actuariel d’avance globale théorique initial (TATI actuariel).
Comme pour le TATI proportionnel, le contenu de cette rubrique sera véhiculé dans les retours AR après avoir été calculé par Crédit Agricole S.A.";Contrats;Theorical Actuarial Commercial Margin Rate;TEC_CONTRACT;THEORICAL_ACTUARIAL_COMRCL_MRGN_RATE
Taux endettement octroi;Non renseigné;"Le taux d'endettement est déterminé sur chaque prêt à l'octroi
Correspond à la valeur du prêt sur la valeur du bien financé
";Contrats;Granting Debt Ratio Rate;TEC_CONTRACT;GRNTNG_DEBT_RATIO_RATE
Position banque programme;Non renseigné;Correspond à la position ou statut de la banque dans le programme de titrisation;Contrats;Securitization Pool Position Cd;TEC_CONTRACT;SCURTZN_POOL_POSITN_CD
Pourcentage couverture risque commercial;Non renseigné;Pourcentage de couverture du risque commercial;Garanties reçues;Commercial Risk Coverage Rate;TEC_RECEIVED_GUARANTEE;COMRCL_RISK_CVGE_RATE
Identifiant contrepartie initiale;Non renseigné;Identifiant de la contrepartie initiale;"Tranches ""OMP""";Original Counterparty Id;TEC_IFRS9_TRANCHE;ORIGNL_CNTPTY_ID
Indicatuer utilisation coût amorti;Non renseigné;Flag utilisation du cout amorti;"Tranches ""OMP""";Amortized Cost Use Ind;TEC_IFRS9_TRANCHE;AMRTZD_COST_USE_IND
Montants des Valeurs Non Imputées en intérêts (euro);Non renseigné;Montants d'impayés en intérêts à date d'arrêté (Valeurs Non Imputées);Contrats;Non Imputed Values Interest Euro Amt;TEC_CONTRACT;NON_IMPUTD_VALS_INT_EURO_AMT
Date traitement;Non renseigné;Date de traitement;"Tranches ""OMP""";Processing Dt;TEC_IFRS9_TRANCHE;PRCSG_DT
Montant Capital restant dû avant l'échéance (euro);Non renseigné;Non renseigné;Echéanciers;Before Schedule Outstanding Capital Euro Amt;TEC_SCHEDULE;BEF_SCHD_OUTST_CPTL_EURO_AMT
Sous-type contrat exposition;Non renseigné;"Permet d'identifier le sous-type du contrat d'exposition
S'il y a lieu, à chaque sous-type correspond une table fille ans le modèle de données de la Zone de Partage
Ex : Investissement (I), Crédit (C)";Contrats;Exposure Subtype Cd;TEC_CONTRACT;EXPSR_SBTYPE_CD
Type deuxième Deferral;Non renseigné;"Ce Deferral est un aménagement du remboursement du prêt, négocié lors de la conclusion du contract.
Il peut être soit : total (Deferral d’amortissement du capital et de paiement des intérêts), partiel (Deferral d’amortissement du capital).
Des règles de codification spécifiques sont applicables aux prêts Deferrals :
- Si le 1er Deferral est un Deferral total, alors le 2nd Deferral ne peut être qu'un Deferral d'amortissement.
- Si le 1er Deferral est un Deferral d'amortissement, alors il ne peut y avoir de 2nd Deferral.";Contrats;Second Deferral Type Cd;TEC_CONTRACT;SEC_DFRL_TYPE_CD
Montant EAD IMM;Non renseigné;Montant EAD IMM;Contrats;IMM EAD Amt;TEC_CONTRACT;IMM_EAD_AMT
Montant Indemnité de résiliation (euros);Non renseigné;Non renseigné;Contrats;Termination Comp Euro Amt;TEC_CONTRACT;TRMTN_COMP_EURO_AMT
Montant intérêts du mois actualisés;Non renseigné;Non renseigné;Contrats;Update Month Interest Amt;TEC_CONTRACT;UPDT_MTH_INT_AMT
Montant commissions restantes dûes;Non renseigné;Montant des commissions d’engagement  restantes dûes;Contrats;Commission Outsanding Amt;TEC_CONTRACT;COMS_OUTSANDING_AMT
Périmètre du flux;Non renseigné;Périmètre du fichier (maître) qui créé la ligne en base;Provisions;Flow Scope Cd;TEC_DEPRECIATION;FLOW_SCOPE
Date 1 de fin du différé d'amortissement;Non renseigné;Date de fin de la période d’anticipation : mise à jour à la fin de la période d’anticipation;Contrats;Grace Period End Dt;TEC_CONTRACT;GRC_PRD_END_DT
Motif de l'état de performance de la créance;Non renseigné;Motif de l'état de performance de la créance;Contrats;Debt Efficiency Status Purpose Cd;TEC_CONTRACT;DEBT_EFCNCY_STS_PRPS_CD
Montant decote actif deprecie achat;Non renseigné;Montant de la décote sur actif déprécié à l’achat;Contrats;Asset Haircut Amt;TEC_CONTRACT;ASSET_HRCT_AMT
Montant Capital restant dû avant l'échéance;Non renseigné;Montant du capital restant dû avant l'échéance en devise d'origine;Echéanciers;Before Schedule Outstanding Capital Amt;TEC_SCHEDULE;BEF_SCHD_OUTST_CPTL_AMT
Nominal acheté (euro);Non renseigné;Non renseigné;Contrats;Purchase Nominal Euro Amt;TEC_CONTRACT;PRCH_NMNL_EURO_AMT
Devise intérêts restants dûs;Non renseigné;Devise d'expression des intérêts restants dûs;Contrats;Interest Outstanding Amt Currency Cd;TEC_CONTRACT;INT_OUTST_AMT_CURY_CD
Coût historique de la position (euro);Non renseigné;Coût historique de la position hors frais;Contrats;Historical Euro Amt;TEC_CONTRACT;HSTCL_EURO_AMT
Référence titre sous jacent;Non renseigné;Code ISIN des titres;Contrats;Underlying Investment Product ISIN Cd;TEC_CONTRACT;UNDRLY_INVSTMT_PROD_ISIN_CD
Balancing Payment initiale en dev. de paiement - Jambe rec.;Non renseigné;Non renseigné;Contrats;Lending Leg Initial Balancing Payment Amt;TEC_CONTRACT;LENDG_LEG_INIT_BLNCG_PMT_AMT
Montant Assiette interne du risque de variation (euro);Non renseigné;Non renseigné;Contrats;Fluctuation Risk Internal Base Euro Amt;TEC_CONTRACT;FLUC_RISK_INTRNL_BASE_EURO_AMT
Indicateur contrôle covenant;Non renseigné;"Clause d'un contrat de prêt qui en cas de non-respect des objectifs peut entraîner le remboursement anticipé du prêt. 
Le covenant permet donc au prêteur d'exiger le remboursement anticipé des prêts dans la mesure où les prévisions financières de l'entreprise ne sont pas tenues et dans la mesure où la structure financière de l'emprunteur se dégrade (non respect de ratios).";Garanties reçues;Covenant Control Ind;TEC_RECEIVED_GUARANTEE;COVNT_CNTRL_IND
Entité rattachée au Tiers garant;Non renseigné;Entité rattachée au Tiers garant;Contrats;Guarantor Party Entity Id;TEC_CONTRACT;GUARTR_PRTY_ENT_ID
Date d'arrêté;Non renseigné;Date d'arrêté;Provisions;Statement Dt;TEC_DEPRECIATION;STTM_DT
Taux client octroi;Non renseigné;Correspond au taux client fixe ou variable  à l’octroi;Contrats;Granting Customer Rate;TEC_CONTRACT;GRNTNG_CUST_RATE
Ligne produit;Non renseigné;Code Ligne de Produit dans la codification locale;Contrats;Product Line Cd;TEC_CONTRACT;PROD_LN_CD
Echelon qualité sous-jacent - Jambe prêt.;Non renseigné;Correspond à l'échelon de qualité de crédit des titres;Contrats;Lending Leg Investment Product Credit Quality Cd;TEC_CONTRACT;LENDG_LEG_INVSTMT_PROD_CR_QLTY_CD
Numéro de compte PCCA de l'encours en NF;Non renseigné;Numéro de compte PCCA de l'encours en NF;Contrats;Outstanding Amt Fr COAA Cd;TEC_CONTRACT;OUTST_AMT_FR_COAA_CD
Référence unique opération associée back to back;Non renseigné;Référence unique de l'opération associée en back-to-back en lien avec la finalité back to back;Contrats;Back To Back Operation Ref;TEC_CONTRACT;BCK_TO_BCK_OPRTN_REF
Date de couverture à dire d'expert (DCDE);Non renseigné;Date à laquelle le gestionnaire anticipe la réalisation du call;Contrats;Expert Opinion Coverage Dt;TEC_CONTRACT;EXPRT_OPNIN_CVGE_DT
TCI  Composante Pilotage Commerciale;Non renseigné;Non renseigné;Contrats;Internal Transfert Price - Sales Monitoring Component Rate;TEC_CONTRACT;INTRNL_TFRT_PRC_SLS_MNTRG_COMPT_RATE
Montant EAD IMM (euro);Non renseigné;Non renseigné;Contrats;IMM EAD Euro Amt;TEC_CONTRACT;IMM_EAD_EURO_AMT
Identifiant Contrepartie bénéficiaire finale;Non renseigné;Identifiant de la contrepartie bénéficiaire finale de l'engagement par signature;"Tranches ""OMP""";Letter Of Credit Beneficiary Id;TEC_IFRS9_TRANCHE;LTR_OF_CR_BNFRY_ID
Taux plancher en début de contrat;Non renseigné;Non renseigné;Contrats;Initial Floor Rate;TEC_CONTRACT;INIT_FLOOR_RATE
Vulnérabilité à une crise se référant au Tiers garant;Non renseigné;Vulnérabilité à une crise se référant au Tiers garant;"Tranches ""OMP""";Guarantor Vulnerability Ind;TEC_IFRS9_TRANCHE;GUARTR_VULNERABL_IND
Nom ville;Non renseigné;Libellé de la ville;Tiers;City Name;TEC_PARTY;CITY_NAME
Montant decote actif deprecie achat (euro);Non renseigné;Non renseigné;Contrats;Asset Haircut Euro Amt;TEC_CONTRACT;ASSET_HRCT_EURO_AMT
Modalité de paiement intérêts en phase de déblocage;Non renseigné;Indique si les intérêts sont payés directement ou ajoutés au capital lors de la phase de déblocage;Contrats;Release Stage Interest Payment Modality Cd;TEC_CONTRACT;RLEAS_STGE_INT_PMT_MODALITY_CD
Entité rattachée au tiers garant;Non renseigné;Non renseigné;Garanties reçues;Guarantor Party Entity Id;TEC_RECEIVED_GUARANTEE;GUARTR_PRTY_ENT_ID
Devise Montant capital en arriéré;Non renseigné;Devise du Montant de capital en arriéré de paiement;Contrats;Unpaid Drawn Capital Amt Currency Cd;TEC_CONTRACT;UNPD_DRWN_CPTL_AMT_CURY_CD
Montant cumulé recouvrements depuis défaut (euro);Non renseigné;Non renseigné;Contrats;Cumulated Recovery Euro Amt;TEC_CONTRACT;CUMULATED_RCVRY_EURO_AMT
Identifiant contrat exposition;Non renseigné;Correspond à un contrat de sous-type exposition dans la table des contrat (i.e. Identifiant contrat);"Tranches ""OMP""";Contract Id;TEC_IFRS9_TRANCHE;CNTRCT_ID
Numéro de compte PCCA de l'encours sain en NF;Non renseigné;"Numéro de compte PCCA de l'encours sain en NF 
( les autres PCCA des autres montants seront dérivés  à partir de la table START FI24)";Contrats;Healthy Outstanding Amt Fr COAA Cd;TEC_CONTRACT;HLTHY_OUTST_AMT_FR_COAA_CD
Montant origine contrat (euro);Non renseigné;Non renseigné;Contrats;Agreement Original Euro Amt;TEC_CONTRACT;AGMT_ORIGNL_EURO_AMT
Date de maturité;Non renseigné;Date d'échéance du titre;Contrats;Security Maturity Dt;TEC_CONTRACT;SCURTY_MATURTY_DT
Capital théorique restant dû (euro);Non renseigné;Correspond au CRD théorique sur les prêts (ne prend pas en compte les arriérés de paiement);Contrats;Theoretical Capital Outstanding Euro Amt;TEC_CONTRACT;THRTCL_CPTL_OUTST_EURO_AMT
Date dernière restructuration pour risque;Non renseigné;Date de dernière restructuration de la créance pour cause de risque (créance FORBORN);Contrats;Last Risk Remediation Plan Dt;TEC_CONTRACT;LAST_RISK_REMDTN_PLN_DT
Trimestre;Non renseigné;Non renseigné;Arrêtés;Quarter Cd;TEC_STATEMENT_DATE;QTR_CD
Objet finance;Non renseigné;Objet financé;Contrats;Financed Object Cd;TEC_CONTRACT;FINCD_OBJT_CD
Indicateur option de remboursement anticipé;Non renseigné;Indicateur option de remboursement anticipé (LC.0232);Contrats;Early Repayment Option Ind;TEC_CONTRACT;EARLY_RPMT_OPTN_IND
Niveau intra-groupe (tranche baloise);Non renseigné;Niveau d'intra-groupe de la garantie personnelle;"Tranches ""OMP""";Intra Group Ind;TEC_IFRS9_TRANCHE;INTRA_GRP_IND
Montant total dépôts exceptionnels;Non renseigné;Non renseigné;Contrats;Exceptional Deposit Amt;TEC_CONTRACT;EXCPTNAL_DEP_AMT
Numéro Compte PCCO Encours en norme IFRS - Jambe empr.;Non renseigné;Numéro Compte PCCO de l'encours en norme IFRS en devise achetée - Jambe emprunteuse;Contrats;Borrowing Leg Outstanding Amt COA Cd;TEC_CONTRACT;BORWG_LEG_OUTST_AMT_COA_CD
Montant add on affacturage;Non renseigné;Montant du Add-on affacturage;Contrats;Purchased Receivable Premium Amt;TEC_CONTRACT;PRCHD_RECVBL_PREM_AMT
Numéro échéance;Non renseigné;Numéro de l'échéance;Echéanciers;Schedule Num;TEC_SCHEDULE;SCHD_NUM
Montant nominal EPS (euro);Non renseigné;Non renseigné;Contrats;Letter Of Credit Nominal Euro Amt;TEC_CONTRACT;LTR_OF_CR_NMNL_EURO_AMT
Devise montant réalisations du mois;Non renseigné;Code devise du montant des réalisations du mois;Contrats;Month Fund Release Amt Currency Cd;TEC_CONTRACT;MTH_FUND_RLEAS_AMT_CURY_CD
Devise Montant de la patte du Titre;Non renseigné;Devise dans laquelle le contrat a été signé;Contrats;Security Leg Amt Currency Cd;TEC_CONTRACT;SCURTY_LEG_AMT_CURY_CD
Nominal vendu en devise d'origine;Non renseigné;Non renseigné;Contrats;Sale Nominal Amt;TEC_CONTRACT;SL_NMNL_AMT
Périodicité de paiement du dividende;Non renseigné;Non renseigné;Contrats;Dividend Payment Periodicity Cd;TEC_CONTRACT;DVIDND_PMT_PERIODCITY_CD
Prochaine date de paiement/capitalisation intérêts - Jambe empr.;Non renseigné;Non renseigné;Contrats;Borrowing Leg Interest Capitalization Next Dt;TEC_CONTRACT;BORWG_LEG_INT_CPTLZN_NXT_DT
Mois;Non renseigné;Non renseigné;Arrêtés;Month Cd;TEC_STATEMENT_DATE;MTH_CD
Méthode réglementaire calcul exposition;Non renseigné;Méthode réglementaire du calcul de l'exposition;Contrats;Exposure Calculation Method Cd;TEC_CONTRACT;EXPSR_CALCN_METH_CD
Montant Coupons courus non échus - Jambe ach. (euro);Non renseigné;Montant des coupons courus non échus de la jambe achetée (dérivés);Contrats;Buy Leg Non Expired Coupon Euro Amt;TEC_CONTRACT;BUY_LEG_NON_EXPRD_COUPN_EURO_AMT
Indicateur garantie inconditionnelle;Non renseigné;Indicateur permettant de préciser si la garantie est inconditionnelle ou non.;Garanties reçues;Unconditional Guarantee Ind;TEC_RECEIVED_GUARANTEE;UNCONDITIONAL_GUAR_IND
Période liquidation x2;Non renseigné;Période de liquidation X2;Contrats;Liquidation Period X2 Cd;TEC_CONTRACT;LQDTN_PRD_X2_CD
Montant CA du garant (euro);Non renseigné;Montant CA en million d'euros du garant (euro);"Tranches ""OMP""";Guarantor Turnover Euro Amt;TEC_IFRS9_TRANCHE;GUARTR_TRNVR_EURO_AMT
Indicateur ségrégation;Non renseigné;Indicateur de ségrégation;Contrats;Segregation Ind;TEC_CONTRACT;SGRGTN_IND
Sous-type contrat;Non renseigné;"Permet d'identifier le sous-type du contrat
S'il y a lieu, à chaque sous-type correspond une table fille ans le modèle de données de la Zone de Partage
Ex : Exposition (E), Réduction du risque (R)";Contrats;Agreement Subtype Cd;TEC_CONTRACT;AGMT_SBTYPE_CD
Taux LGD garantie;Non renseigné;LGD Garantie Personnelle;"Tranches ""OMP""";LGD Rate;TEC_IFRS9_TRANCHE;LGD_RATE
Devise initiale encours;Non renseigné;Devise Initiale de l'encours;"Tranches ""OMP""";Exposure Original Currency Cd;TEC_IFRS9_TRANCHE;EXPSR_ORIGNL_CURY_CD
Montant Add-on affacturage (euro);Non renseigné;montant du Add-on affacturage. (LC.0005);Contrats;Purchased Receivable Premium Euro Amt;TEC_CONTRACT;PRCHD_RECVBL_PREM_EURO_AMT
Montant Nominal Titres (cessions tempo. de titres) - Jambe prêt.;Non renseigné;Signe du montant, partie entière, partie décimale;Contrats;Lending Leg Investment Product Nominal Amt;TEC_CONTRACT;LENDG_LEG_INVSTMT_PROD_NMNL_AMT
Montant coût amorti;Non renseigné;Montant du coût amorti;Contrats;Amortized Cost Amt;TEC_CONTRACT;AMRTZD_COST_AMT
Frais de transaction;Non renseigné;Montant des frais de courtage;Contrats;Transaction Fees Amt;TEC_CONTRACT;TSACTN_FEES_AMT
Montant comptable  (euro) (IFRS);Non renseigné;Montant nominal + ICNE - Dépréciation;Contrats;IFRS Accounting Euro Amt;TEC_CONTRACT;IFRS_ACCNTG_EURO_AMT
Zone libre appariement comptable;Non renseigné;Zone libre d'appariement comptable;Contrats;Accounting Reconciliation Val;TEC_CONTRACT;ACCNTG_RECNCLN_VAL
Date d'arrêté;Non renseigné;Non renseigné;Paliers;Statement Dt;TEC_SCHEDULE_STAGE;STTM_DT
Montant Créances Impayées en capital (euro);Non renseigné;Montants d'impayés en capital à date d'arrêté (Créances Impayées);Contrats;Unpaid Capital Euro Amt;TEC_CONTRACT;UNPD_CPTL_EURO_AMT
Montant MtM net si accord de netting;Non renseigné;Montantn MtM net si accord de netting;Contrats;Netting Agreement MtM Amt;TEC_CONTRACT;NETG_AGMT_MTM_AMT
Montant ICNE en devise de paiement;Non renseigné;Non renseigné;Contrats;Payment Currency Accrued Interest Not Due Amt;TEC_CONTRACT;PMT_CURY_ACRUD_INT_NOT_DUE_AMT
Indicateur taux couverture sûreté;Non renseigné;Indicateur permettant d'identifier que l'engagement est supérieur ou égal au montant de couverture requis;Contrats;Cover Rate Ind;TEC_CONTRACT;CVR_RATE_IND
Date notation Fitch;Non renseigné;Date de cotation;Tiers;External Rating Fitch Long Term Rating Dt;TEC_PARTY;EXTR_RTG_FITCH_LONG_TERM_RTG_DT
Montant Tranche bâloise- niveau 2 (euro);Non renseigné;Non renseigné;"Tranches ""OMP""";Basel Tranche Level 2 Euro Amt;TEC_IFRS9_TRANCHE;BSL_TRNCH_LVL_2_EURO_AMT
Montant part en trésorerie tranche en cours;Non renseigné;Part en trésorerie (montant) de l'entité pour la tranche en cours;Autorisation;Current Tranche Cash Part Amt;TEC_AUTORIZATION;CUR_TRNCH_CSH_PRT_AMT
Application de l'engagement corporate;Non renseigné;Correspond au code application source de l'engagement CORPORATE, tel que remonté dans le CRRv4.1;Echéanciers;Source Cd;TEC_SCHEDULE;SRC_CD
